title,link
The Amazing Spider-Man 2,https://www.the-numbers.com/movie/Amazing-Spider-Man-2-The#tab=summary
World War Z,https://www.the-numbers.com/movie/World-War-Z#tab=summary
The Mummy Returns,https://www.the-numbers.com/movie/Mummy-Returns-The#tab=summary
Armageddon,https://www.the-numbers.com/movie/Armageddon#tab=summary
Cinderella,https://www.the-numbers.com/movie/Cinderella-(2015)#tab=summary
Ralph Breaks The Internet,https://www.the-numbers.com/movie/Ralph-Breaks-The-Internet-(2018)#tab=summary
Tangled,https://www.the-numbers.com/movie/Tangled#tab=summary
Godzilla,https://www.the-numbers.com/movie/Godzilla-(2014)#tab=summary
Superman Returns,https://www.the-numbers.com/movie/Superman-Returns#tab=summary
Spectre,https://www.the-numbers.com/movie/Spectre#tab=summary
Gone with the Wind,https://www.the-numbers.com/movie/Gone-with-the-Wind#tab=summary
Pearl Harbor,https://www.the-numbers.com/movie/Pearl-Harbor#tab=summary
Monsters vs. Aliens,https://www.the-numbers.com/movie/Monsters-vs-Aliens#tab=summary
Happy Feet,https://www.the-numbers.com/movie/Happy-Feet#tab=summary
Indiana Jones and the Last Crusade,https://www.the-numbers.com/movie/Indiana-Jones-and-the-Last-Crusade#tab=summary
Ice Age: Dawn of the Dinosaurs,https://www.the-numbers.com/movie/Ice-Age-Dawn-of-the-Dinosaurs#tab=summary
Ice Age: The Meltdown,https://www.the-numbers.com/movie/Ice-Age-The-Meltdown#tab=summary
Mission: ImpossibleâRogue Nation,https://www.the-numbers.com/movie/Mission-Impossible-Rogue-Nation#tab=summary
Madagascar,https://www.the-numbers.com/movie/Madagascar#tab=summary
Twilight,https://www.the-numbers.com/movie/Twilight-(2008)#tab=summary
Toy Story,https://www.the-numbers.com/movie/Toy-Story#tab=summary
22 Jump Street,https://www.the-numbers.com/movie/22-Jump-Street#tab=summary
Cars 2,https://www.the-numbers.com/movie/Cars-2#tab=summary
Teenage Mutant Ninja Turtles,https://www.the-numbers.com/movie/Teenage-Mutant-Ninja-Turtles-(2014)#tab=summary
Men in Black 2,https://www.the-numbers.com/movie/Men-in-Black-2#tab=summary
Spider-Man: Into The Spider-Verse 3D,https://www.the-numbers.com/movie/Spider-Man-Into-The-Spider-Verse-3D-(2018)#tab=summary
Dunkirk,https://www.the-numbers.com/movie/Dunkirk-(2017)#tab=summary
Wreck-It Ralph,https://www.the-numbers.com/movie/Wreck-It-Ralph#tab=summary
The Polar Express,https://www.the-numbers.com/movie/Polar-Express-The#tab=summary
A Quiet Place,https://www.the-numbers.com/movie/Quiet-Place-A-(2018)#tab=summary
Interstellar,https://www.the-numbers.com/movie/Interstellar#tab=summary
Gladiator,https://www.the-numbers.com/movie/Gladiator-(2000)#tab=summary
The Croods,https://www.the-numbers.com/movie/Croods-The#tab=summary
Sherlock Holmes: A Game of Shadows,https://www.the-numbers.com/movie/Sherlock-Holmes-A-Game-of-Shadows#tab=summary
The Day After Tomorrow,https://www.the-numbers.com/movie/Day-After-Tomorrow-The#tab=summary
Mr. and Mrs. Smith,https://www.the-numbers.com/movie/Mr-and-Mrs-Smith#tab=summary
Snow White and the Seven Dwarfs,https://www.the-numbers.com/movie/Snow-White-and-the-Seven-Dwarfs#tab=summary
Pitch Perfect 2,https://www.the-numbers.com/movie/Pitch-Perfect-2#tab=summary
Dances with Wolves,https://www.the-numbers.com/movie/Dances-with-Wolves#tab=summary
Batman Forever,https://www.the-numbers.com/movie/Batman-Forever-(1995)#tab=summary
The Fugitive,https://www.the-numbers.com/movie/Fugitive-The#tab=summary
The Revenant,https://www.the-numbers.com/movie/Revenant-The-(2015)#tab=summary
Ocean's Eleven,https://www.the-numbers.com/movie/Oceans-Eleven#tab=summary
The Simpsons Movie,https://www.the-numbers.com/movie/Simpsons-Movie-The#tab=summary
What Women Want,https://www.the-numbers.com/movie/What-Women-Want#tab=summary
The Perfect Storm,https://www.the-numbers.com/movie/Perfect-Storm-The#tab=summary
Lincoln,https://www.the-numbers.com/movie/Lincoln#tab=summary
Grease,https://www.the-numbers.com/movie/Grease#tab=summary
Liar Liar,https://www.the-numbers.com/movie/Liar-Liar#tab=summary
Jurassic Park III,https://www.the-numbers.com/movie/Jurassic-Park-3#tab=summary
Thor,https://www.the-numbers.com/movie/Thor#tab=summary
Mission: Impossible,https://www.the-numbers.com/movie/Mission-Impossible#tab=summary
Ant-Man,https://www.the-numbers.com/movie/Ant-Man#tab=summary
Madagascar: Escape 2 Africa,https://www.the-numbers.com/movie/Madagascar-Escape-2-Africa#tab=summary
Planet of the Apes,https://www.the-numbers.com/movie/Planet-of-the-Apes-(2001)#tab=summary
X-Men Origins: Wolverine,https://www.the-numbers.com/movie/X-Men-Origins-Wolverine#tab=summary
Indiana Jones and the Temple of Doom,https://www.the-numbers.com/movie/Indiana-Jones-and-the-Temple-of-Doom#tab=summary
Top Gun,https://www.the-numbers.com/movie/Top-Gun#tab=summary
Men in Black 3,https://www.the-numbers.com/movie/Men-in-Black-3#tab=summary
Pretty Woman,https://www.the-numbers.com/movie/Pretty-Woman#tab=summary
Hitch,https://www.the-numbers.com/movie/Hitch#tab=summary
Home,https://www.the-numbers.com/movie/Home-(2015)#tab=summary
Night at the Museum: Battle of the Smithsonian,https://www.the-numbers.com/movie/Night-at-the-Museum-Battle-of-the-Smithsonian#tab=summary
Tootsie,https://www.the-numbers.com/movie/Tootsie#tab=summary
